chainId,tx_hash,block,timestamp,unix_time,pool_id,allocpoint
2,0x169e58b3541e1888158d453fab2c9b1ab39606658a435441722e713febdddf2b,19179152,2022-07-01T20:38:54Z,1656707934,5,74.31
2,0x87884511ed47dd455528be167717b133aca0ed583f03a3d056b902a30dd7d485,20037609,2022-07-31T17:45:10Z,1659289510,2,32.46
2,0x87884511ed47dd455528be167717b133aca0ed583f03a3d056b902a30dd7d485,20037609,2022-07-31T17:45:10Z,1659289510,5,67.54
2,0x478a9e479b2dd9686245a08c03200b6687c1a7d899bbd72282a0bcd6606c0530,20958958,2022-09-01T18:35:48Z,1662057348,2,48.97
2,0x478a9e479b2dd9686245a08c03200b6687c1a7d899bbd72282a0bcd6606c0530,20958958,2022-09-01T18:35:48Z,1662057348,5,51.03
6,0x925a69e0009272b7bece2bc7c9b1ccd41b09e3be343be84697b67a22cb7dc93b,15476646,2022-06-01T21:58:41Z,1654120721,1,60.4
6,0x925a69e0009272b7bece2bc7c9b1ccd41b09e3be343be84697b67a22cb7dc93b,15476646,2022-06-01T21:58:41Z,1654120721,2,39.6
6,0x82b5ca61335dc45ae8fc9e07bd253df8567d228adcbb722213d14825af9e918b,16772148,2022-07-01T20:42:20Z,1656708140,1,65.97
6,0x82b5ca61335dc45ae8fc9e07bd253df8567d228adcbb722213d14825af9e918b,16772148,2022-07-01T20:42:20Z,1656708140,2,34.03
6,0x5d972cc1898ae1f574ffa10c97ce54c1077a69243b74b0ca49686b284463d743,18043863,2022-07-31T17:44:08Z,1659289448,1,56.54
6,0x5d972cc1898ae1f574ffa10c97ce54c1077a69243b74b0ca49686b284463d743,18043863,2022-07-31T17:44:08Z,1659289448,2,43.46
6,0x6b238f23c04a313b11d9445367068f6aa9c92306bba68507e85ffcd89c36c382,19411692,2022-09-01T18:34:58Z,1662057298,1,43.26
6,0x6b238f23c04a313b11d9445367068f6aa9c92306bba68507e85ffcd89c36c382,19411692,2022-09-01T18:34:58Z,1662057298,2,56.74
9,0x0786d924f358cbdfe7fbb332d23b015939b5d46927fc9c59b0e275e4c787e435,29049082,2022-06-01T22:07:57Z,1654121277,1,100
9,0x0786d924f358cbdfe7fbb332d23b015939b5d46927fc9c59b0e275e4c787e435,29049082,2022-06-01T22:07:57Z,1654121277,2,0
9,0xf281b39361bb9be7f1b47610a5c1c11342f351333b0eb6b59d7970f3f1d0c3fb,30226708,2022-07-01T20:45:17Z,1656708317,1,81.71
9,0xf281b39361bb9be7f1b47610a5c1c11342f351333b0eb6b59d7970f3f1d0c3fb,30226708,2022-07-01T20:45:17Z,1656708317,2,18.29
9,0xfb320b8a10d8884a611fc10ff2012883be0f3f9c8cb7d0171dc94d5732dd0ea0,31362020,2022-07-31T17:42:20Z,1659289340,1,56.17
9,0xfb320b8a10d8884a611fc10ff2012883be0f3f9c8cb7d0171dc94d5732dd0ea0,31362020,2022-07-31T17:42:20Z,1659289340,2,43.83
9,0xac805a8ea0380f971a33823e912acf7fd36db49a8cafb78739d8ad8f3700a1f6,32566302,2022-09-01T18:33:39Z,1662057219,1,22.35
9,0xac805a8ea0380f971a33823e912acf7fd36db49a8cafb78739d8ad8f3700a1f6,32566302,2022-09-01T18:33:39Z,1662057219,2,77.65
10,0x2d55778438259330156f7aa400f0972a2a4423c33b60eb3dab08652b4768a4f3,13468195,2022-06-01T22:33:05Z,1654122785,1,100
10,0x2d55778438259330156f7aa400f0972a2a4423c33b60eb3dab08652b4768a4f3,13468195,2022-06-01T22:33:05Z,1654122785,2,0
10,0xad8fb1c11942022b9ee8bddd2e89390010a5888ed2032947435e6c42020a67a4,16482998,2022-06-29T18:37:50Z,1656527870,13,32
10,0xefd79fea99daf8c482bc47bf97624a0cd4d236a826137f182efc34083f12138a,16753599,2022-07-01T20:57:22Z,1656709042,1,93.35
10,0xefd79fea99daf8c482bc47bf97624a0cd4d236a826137f182efc34083f12138a,16753599,2022-07-01T20:57:22Z,1656709042,2,3.47
10,0xefd79fea99daf8c482bc47bf97624a0cd4d236a826137f182efc34083f12138a,16753599,2022-07-01T20:57:22Z,1656709042,13,3.18
10,0x5fd081df89fcbb344c43e3dee86fd05c1a9b21e6454b29d46ea383887356505b,19055816,2022-07-31T17:45:04Z,1659289504,1,88.94
